Ref Probe,,0,J2:TMP117,1,J2:Si7051,2,J2:AS6221,3,J2:ADT7422,4,J1:Si7051,5,J1:AS6221,6,J1:ADT7422
Rref,Tref,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value
1.047882671E+02,,2905.206,-0.0078125,2905.212,8.86688232421875,2905.213,8.9609375,2905.213,8.90625,2905.22,8.920507431030273,2905.22,-0.0078125,2905.221,8.953125
1.047883971E+02,,2905.271,-0.0078125,2905.277,8.877607345581055,2905.278,8.9609375,2905.278,8.90625,2905.285,8.899057388305664,2905.285,-0.0078125,2905.286,8.953125
1.047883623E+02,,2905.336,-0.0078125,2905.342,8.86688232421875,2905.343,8.9609375,2905.343,8.90625,2905.35,8.909782409667969,2905.35,-0.0078125,2905.351,8.9375
1.047883731E+02,,2905.401,-0.0078125,2905.407,8.856157302856445,2905.408,8.953125,2905.408,8.921875,2905.415,8.909782409667969,2905.415,-0.0078125,2905.416,8.9375
1.047885477E+02,,3552.566,-0.0078125,3552.572,11.880634307861328,3552.573,11.9765625,3552.573,11.921875,3552.58,11.89136028289795,3552.58,-0.0078125,3552.581,11.9375
1.047883734E+02,,3552.631,-0.0078125,3552.637,11.880634307861328,3552.638,11.9765625,3552.638,11.9296875,3552.645,11.89136028289795,3552.645,-0.0078125,3552.646,11.9609375
1.047884938E+02,,3552.696,-0.0078125,3552.702,11.880634307861328,3552.703,11.9765625,3552.703,11.9296875,3552.71,11.912810325622559,3552.71,-0.0078125,3552.711,11.9609375
1.047887279E+02,,3552.761,-0.0078125,3552.767,11.859184265136719,3552.768,11.9453125,3552.768,11.9296875,3552.775,11.902085304260254,3552.775,-0.0078125,3552.776,11.9609375
1.047887446E+02,,3552.826,-0.0078125,3552.832,11.869909286499023,3552.833,11.9453125,3552.833,11.9296875,3552.84,11.902085304260254,3552.84,-0.0078125,3552.841,11.9453125
1.047888393E+02,,3552.891,-0.0078125,3552.897,11.902085304260254,3552.898,11.9453125,3552.898,11.9375,3552.905,11.923535346984863,3552.905,-0.0078125,3552.906,11.9453125
1.047887606E+02,,3552.956,-0.0078125,3552.962,11.880634307861328,3552.963,11.9921875,3552.963,11.9375,3552.97,11.912810325622559,3552.97,-0.0078125,3552.971,11.9453125
1.047887733E+02,,3553.021,-0.0078125,3553.027,11.859184265136719,3553.028,11.9921875,3553.028,11.9375,3553.035,11.934260368347168,3553.035,-0.0078125,3553.036,11.9453125
1.047887124E+02,,3553.086,-0.0078125,3553.092,11.848459243774414,3553.093,11.96875,3553.093,11.953125,3553.1,11.912810325622559,3553.1,-0.0078125,3553.101,11.921875
1.047887069E+02,,3553.151,-0.0078125,3553.157,11.89136028289795,3553.158,11.96875,3553.158,11.953125,3553.165,11.923535346984863,3553.165,-0.0078125,3553.166,11.921875
1.047887533E+02,,3553.216,-0.0078125,3553.222,11.880634307861328,3553.223,11.96875,3553.223,11.953125,3553.23,11.912810325622559,3553.23,-0.0078125,3553.231,11.921875
1.047882620E+02,,3553.281,-0.0078125,3553.287,11.859184265136719,3553.288,11.953125,3553.288,11.953125,3553.295,11.902085304260254,3553.295,-0.0078125,3553.296,11.921875
1.047885121E+02,,3553.346,-0.0078125,3553.352,11.880634307861328,3553.353,11.953125,3553.353,11.8984375,3553.36,11.912810325622559,3553.36,-0.0078125,3553.361,11.953125
1.047886128E+02,,3553.411,-0.0078125,3553.417,11.869909286499023,3553.418,11.9453125,3553.418,11.8984375,3553.425,11.912810325622559,3553.425,-0.0078125,3553.426,11.953125
1.047886731E+02,,3553.476,-0.0078125,3553.482,11.869909286499023,3553.483,11.9453125,3553.483,11.8984375,3553.49,11.934260368347168,3553.49,-0.0078125,3553.491,11.953125
1.059781308E+02,,3553.541,-0.0078125,3553.547,11.880634307861328,3553.548,11.9453125,3553.548,11.8984375,3553.555,11.923535346984863,3553.555,-0.0078125,3553.556,11.953125
1.059783050E+02,,3553.606,-0.0078125,3553.612,11.880634307861328,3553.613,11.9765625,3553.613,11.921875,3553.62,11.902085304260254,3553.62,-0.0078125,3553.621,11.96875
1.059784649E+02,,3553.671,-0.0078125,3553.677,11.869909286499023,3553.678,11.9765625,3553.678,11.921875,3553.685,11.934260368347168,3553.685,-0.0078125,3553.686,11.96875
1.059784201E+02,,3553.736,-0.0078125,3553.742,11.89136028289795,3553.743,11.9765625,3553.743,11.921875,3553.75,11.902085304260254,3553.75,-0.0078125,3553.751,11.96875
1.059783835E+02,,3553.801,-0.0078125,3553.807,11.869909286499023,3553.808,11.9765625,3553.808,11.921875,3553.815,11.902085304260254,3553.815,-0.0078125,3553.816,11.9453125
1.059781689E+02,,4601.716,-0.0078125,4601.722,14.862212181091309,4601.723,14.953125,4601.723,14.9296875,4601.73,14.915837287902832,4601.73,-0.0078125,4601.731,14.953125
1.059784273E+02,,4601.781,-0.0078125,4601.787,14.862212181091309,4601.788,14.953125,4601.788,14.9296875,4601.795,14.905112266540527,4601.795,-0.0078125,4601.796,14.953125
1.059782422E+02,,4601.846,-0.0078125,4601.852,14.872937202453613,4601.853,14.953125,4601.853,14.9296875,4601.86,14.894387245178223,4601.86,-0.0078125,4601.861,14.953125
1.059784167E+02,,4601.911,-0.0078125,4601.917,14.862212181091309,4601.918,14.96875,4601.918,14.9296875,4601.925,14.905112266540527,4601.925,-0.0078125,4601.926,14.9296875
1.059786216E+02,,4601.976,-0.0078125,4601.982,14.851487159729004,4601.983,14.96875,4601.983,14.9296875,4601.99,14.894387245178223,4601.99,-0.0078125,4601.991,14.9296875
1.059784938E+02,,4602.041,-0.0078125,4602.047,14.851487159729004,4602.048,14.953125,4602.048,14.9296875,4602.055,14.894387245178223,4602.055,-0.0078125,4602.056,14.9296875
1.059784337E+02,,4602.106,-0.0078125,4602.112,14.883662223815918,4602.113,14.953125,4602.113,14.9296875,4602.12,14.905112266540527,4602.12,-0.0078125,4602.121,14.9296875
1.059778299E+02,,4602.171,-0.0078125,4602.177,14.883662223815918,4602.178,14.953125,4602.178,14.9296875,4602.185,14.915837287902832,4602.185,-0.0078125,4602.186,14.9375
1.059784177E+02,,4602.236,-0.0078125,4602.242,14.872937202453613,4602.243,14.9609375,4602.243,14.9296875,4602.25,14.905112266540527,4602.25,-0.0078125,4602.251,14.9375
1.059785303E+02,,4602.301,-0.0078125,4602.307,14.851487159729004,4602.308,14.9609375,4602.308,14.9296875,4602.315,14.926562309265137,4602.315,-0.0078125,4602.316,14.9375
1.059781062E+02,,4602.366,-0.0078125,4602.372,14.872937202453613,4602.373,14.9609375,4602.373,14.921875,4602.38,14.905112266540527,4602.38,-0.0078125,4602.381,14.9453125
1.059781419E+02,,4602.431,-0.0078125,4602.437,14.872937202453613,4602.438,14.9609375,4602.438,14.921875,4602.445,14.915837287902832,4602.445,-0.0078125,4602.446,14.9453125
1.059780295E+02,,4602.496,-0.0078125,4602.502,14.8407621383667,4602.503,14.9609375,4602.503,14.921875,4602.51,14.905112266540527,4602.51,-0.0078125,4602.511,14.9453125
1.059783771E+02,,4602.561,-0.0078125,4602.567,14.872937202453613,4602.568,14.9609375,4602.568,14.921875,4602.575,14.915837287902832,4602.575,-0.0078125,4602.576,14.9453125
1.071770664E+02,,4602.626,-0.0078125,4602.632,14.872937202453613,4602.633,14.9609375,4602.633,14.9375,4602.64,14.915837287902832,4602.64,-0.0078125,4602.641,14.9375
1.071768998E+02,,4602.691,-0.0078125,4602.697,14.894387245178223,4602.698,14.953125,4602.698,14.9375,4602.705,14.905112266540527,4602.705,-0.0078125,4602.706,14.9375
1.071765072E+02,,4602.756,-0.0078125,4602.762,14.862212181091309,4602.763,14.953125,4602.763,14.9375,4602.77,14.905112266540527,4602.77,-0.0078125,4602.771,14.9375
1.071767701E+02,,4602.821,-0.0078125,4602.827,14.883662223815918,4602.828,14.953125,4602.828,14.921875,4602.835,14.894387245178223,4602.835,-0.0078125,4602.836,14.9375
1.071766316E+02,,4602.886,-0.0078125,4602.892,14.872937202453613,4602.893,14.9609375,4602.893,14.921875,4602.9,14.905112266540527,4602.9,-0.0078125,4602.901,14.9609375
